mes,dia,hora,Ir_total,Ir_difusa,Temperatura
3,27,18,17,16,13.6
3,28,7,163,57,5.94
3,28,8,365,96,8.94
3,28,9,555,116,11.32
3,28,10,702,141,13.66
3,28,11,814,133,15.82
3,28,12,870,107,17.55
3,28,13,731,290,18.62
3,28,14,584,330,19.28
3,28,15,523,240,19.61
3,28,16,254,211,19.38
3,28,17,192,109,18.66
3,28,18,33,22,17.28
3,29,7,120,87,7.66
3,29,8,330,145,9.59
3,29,9,463,235,11.78
3,29,10,665,208,13.78
3,29,11,801,166,15.56
3,29,12,870,116,17.15
3,29,13,698,328,18.38
3,29,14,698,221,19.2
3,29,15,613,127,19.57
3,29,16,426,119,19.59
3,29,17,207,101,19.06
3,29,18,34,24,17.88
3,30,7,90,82,7.9
3,30,8,391,70,9.56
3,30,9,551,142,11.08
3,30,10,724,120,12.78
3,30,11,796,181,13.92
3,30,12,884,98,14.79
3,30,13,171,171,14.88
3,30,14,255,253,14.56
3,30,15,93,93,13.59
3,30,16,78,78,13.38
3,30,17,138,118,11.32
3,30,18,4,4,10.63
3,31,7,184,54,3.8
3,31,8,384,94,5.79
3,31,9,581,100,7.68
3,31,10,734,114,9.57
3,31,11,846,98,11.6
3,31,12,906,61,12.9
3,31,13,866,98,14.02
3,31,14,767,122,14.86
3,31,15,624,122,15.16
3,31,16,445,101,14.7
3,31,17,245,69,13.65
3,31,18,46,25,12.61
4,1,7,169,69,-0.95
4,1,8,373,103,4.66
4,1,9,565,115,6.85
4,1,10,713,133,7.89
4,1,11,699,303,8.83
4,1,12,628,396,10.14
4,1,13,460,396,10.86
4,1,14,531,359,11.35
4,1,15,256,247,10.89
4,1,16,135,135,10.84
4,1,17,122,111,8.99
4,1,18,6,6,8.76
4,2,7,99,88,4.64
4,2,8,355,133,4.95
4,2,9,438,262,6.33
4,2,10,137,137,8
4,2,11,246,246,8.83
4,2,12,539,418,9.73
4,2,13,638,377,10.7
4,2,14,574,343,11.32
4,2,15,333,292,11.56
4,2,16,291,220,11.3
4,2,17,121,111,10.3
4,2,18,38,28,9.2
4,3,7,180,71,2.77
4,3,8,390,94,5.25
4,3,9,554,152,7.48
4,3,10,559,326,9.16
4,3,11,757,247,10.24
4,3,12,621,406,11.28
4,3,13,659,367,12.34
4,3,14,317,306,12.92
4,3,15,623,119,13.09
4,3,16,441,107,12.81
4,3,17,177,124,12.14
4,3,18,39,30,10.58
4,4,7,77,75,2.18
4,4,8,151,148,5.38
4,4,9,116,116,7.11
4,4,10,277,272,7.89
4,4,11,421,379,8.8
4,4,12,377,360,9.07
4,4,13,228,228,9.7
4,4,14,502,371,11.5
4,4,15,518,258,12.14
4,4,16,327,218,11.76
4,4,17,234,91,10.86
4,4,18,50,30,9.86
4,5,7,180,84,1.07
4,5,8,401,95,3.35
4,5,9,583,122,5.02
4,5,10,546,340,6.68
4,5,11,684,340,8.22
4,5,12,721,349,9.46
4,5,13,541,413,10.42
4,5,14,291,285,10.87
4,5,15,322,289,9.96
4,5,16,228,207,8.55
4,5,17,136,120,7.23
4,5,18,41,32,5.82
4,6,6,16,13,3.78
4,6,7,79,77,4.66
4,6,8,193,179,6.5
4,6,9,249,240,7.95
4,6,10,435,358,9.4
4,6,11,359,344,10.64
4,6,12,154,154,11.61
4,6,13,375,357,11.94
4,6,14,420,364,11.82
4,6,15,153,153,11.03
4,6,16,63,63,9.38
4,6,17,99,97,8.79
4,6,18,59,29,9.13
4,7,6,22,15,4.4
4,7,7,118,102,4.99
4,7,8,292,202,5.08
4,7,9,413,289,6.02
4,7,10,442,361,7.57
4,7,11,361,346,8.12
4,7,12,275,274,9.76
4,7,13,519,416,10.5
4,7,14,634,318,11.08
4,7,15,537,253,10.83
4,7,16,290,227,10.39
4,7,17,49,49,10.07
4,7,18,49,35,9.69
4,8,6,22,17,2.94
4,8,7,42,42,4.05
4,8,8,179,172,6.19
4,8,9,323,283,7.72
4,8,10,404,352,9.05
4,8,11,548,411,10.43
4,8,12,631,417,11.54
4,8,13,781,267,12.23
4,8,14,478,378,12.78
4,8,15,283,269,13.23
4,8,16,92,92,13.51
4,8,17,269,62,13.29
4,8,18,65,32,12.66
4,9,6,4,4,5.35
4,9,7,107,99,6.59
